Ax	Ay	Gx	Gy
0,156359	0,002757	0,132105	0,010344
0,157002	0,002871	0,133100	0,010177
0,158022	0,002984	0,133961	0,009871
0,158903	0,003081	0,135410	0,009859
0,159665	0,003166	0,138036	0,009866
0,160323	0,003238	0,140161	0,010198
0,161372	0,003302	0,143534	0,009672
0,162278	0,003358	0,147028	0,010175
0,163061	0,003405	0,151439	0,010375
0,163737	0,003447	0,155776	0,010674
0,164902	0,003488	0,160409	0,010788
0,165909	0,003523	0,165987	0,010850
0,166778	0,003554	0,171820	0,011067
0,167530	0,003581	0,177132	0,010640
0,168900	0,003605	0,182138	0,010903
0,170084	0,003626	0,187514	0,010697
0,171107	0,003644	0,192937	0,010771
0,171992	0,003660	0,198473	0,010691
0,173581	0,003662	0,204180	0,010279
0,174954	0,003664	0,209257	0,009922
0,176141	0,003666	0,214241	0,009722
0,177167	0,003667	0,218946	0,009062
0,178053	0,003634	0,223066	0,008364
0,179649	0,003605	0,227839	0,007816
0,181028	0,003580	0,232560	0,007323
0,182220	0,003558	0,236116	0,007061
0,183250	0,003539	0,239894	0,006834
0,185081	0,003459	0,242870	0,006402
0,186664	0,003390	0,245713	0,005777
0,188032	0,003330	0,248026	0,005308
0,189214	0,003278	0,249808	0,004596
0,191007	0,003070	0,250787	0,004631
0,192557	0,002890	0,251760	0,005041
0,193896	0,002734	0,252836	0,004980
0,195053	0,002600	0,253640	0,005180
0,196830	0,002377	0,253538	0,005642
0,198365	0,002184	0,253758	0,005752
0,199692	0,002017	0,252900	0,005902
0,200839	0,001873	0,252610	0,006411
0,202448	0,001672	0,251347	0,006850
0,203838	0,001497	0,249804	0,007248
0,205039	0,001346	0,247747	0,007827
0,206077	0,001216	0,245607	0,008111
0,207402	0,001105	0,242385	0,008555
0,208547	0,001008	0,238641	0,008993
0,209537	0,000925	0,233906	0,009299
0,210392	0,000853	0,228674	0,010232
0,211319	0,000813	0,222327	0,009701
0,212121	0,000778	0,215793	0,008808
0,212814	0,000748	0,208230	0,008145
0,213413	0,000721	0,200608	0,007699
0,213963	0,000773	0,192449	0,006788
0,214439	0,000818	0,183662	0,005713
0,214851	0,000857	0,174495	0,004186
0,215206	0,000890	0,164386	0,002505
0,215410	0,000962	0,154383	0,001143
0,215586	0,001025	0,144039	0,000056
0,215738	0,001079	0,133002	-0,000648
0,215869	0,001126	0,121782	-0,001564
0,215899	0,001188	0,110260	-0,001506
0,215629	0,001241	0,098042	-0,001474
0,215395	0,001287	0,084898	-0,001229
0,215194	0,001327	0,071567	-0,001289
0,215019	0,001340	0,057769	-0,000889
0,214245	0,001351	0,043150	-0,000579
0,213576	0,001361	0,028220	-0,000817
0,212998	0,001369	0,012678	-0,000861
0,212498	0,001377	-0,003250	-0,001404
0,211199	0,001336	-0,019166	-0,001639
0,210077	0,001301	-0,036121	-0,002041
0,209106	0,001270	-0,053576	-0,003093
0,208268	0,001244	-0,071519	-0,004509
0,206592	0,001225	-0,089556	-0,005515
0,205143	0,001208	-0,108000	-0,006240
0,203891	0,001194	-0,126942	-0,007102
0,202809	0,001182	-0,145698	-0,008082
0,200703	0,001155	-0,164476	-0,008676
