Ax	Ay	Gx	Gy
2,937195	1,372363	-270,603180	330,506866
2,939103	1,374814	-272,150360	333,153168
2,940752	1,376933	-268,600311	333,268127
2,942177	1,378764	-268,790314	334,317780
2,940795	1,380347	-268,275757	330,744995
2,939600	1,379762	-269,595886	333,087463
2,938568	1,379257	-272,365845	333,075592
2,937676	1,378820	-267,972015	331,028992
2,936902	1,378443	-266,754028	330,617798
2,939697	1,376575	-266,380157	326,189758
2,942113	1,374962	-264,699493	326,299744
2,944201	1,373567	-265,554810	327,616608
2,946005	1,372362	-264,121948	326,446869
2,947757	1,372624	-268,585327	326,929230
2,949271	1,372851	-267,419830	328,432129
2,950579	1,373047	-269,127655	331,903107
2,951710	1,373216	-270,603638	333,952576
2,952878	1,371572	-270,385925	335,180817
2,953886	1,370150	-268,568726	334,748993
2,954758	1,368922	-268,763031	335,054565
2,955512	1,367861	-270,152740	333,553864
2,953619	1,365570	-270,675018	331,985382
2,951984	1,363591	-271,126404	334,159454
2,950571	1,361880	-270,158966	331,965729
2,949349	1,360402	-268,644073	333,735199
2,945633	1,360847	-270,321442	336,214752
2,942421	1,361231	-272,857147	338,357666
2,939646	1,361563	-273,012299	337,087311
2,937247	1,361850	-272,874878	338,297241
2,932724	1,360540	-274,249420	336,763580
2,928814	1,359408	-276,930664	338,288971
2,925436	1,358429	-276,532806	335,941895
2,922516	1,357583	-275,645935	338,393372
2,917797	1,355431	-277,458832	335,624878
2,913719	1,353571	-277,668060	334,046753
2,910195	1,351964	-279,749451	335,262207
2,907149	1,350575	-277,747131	333,054535
2,905595	1,348473	-275,202118	332,368347
2,904251	1,346656	-275,989197	330,146271
2,903090	1,345085	-277,891235	326,868286
2,902086	1,343728	-278,584778	330,280060
2,899115	1,342088	-276,876343	329,427521
2,896548	1,342792	-276,757385	330,184021
2,894328	1,343401	-273,803711	328,122711
2,892411	1,343926	-274,373383	328,377563
2,889077	1,344381	-274,865723	329,955383
2,886196	1,346256	-274,476685	330,232941
2,883707	1,347876	-273,733185	330,608582
2,881555	1,349276	-275,669983	334,462860
2,879695	1,350486	-272,863922	333,856995
2,876662	1,352975	-272,339386	334,012177
2,874042	1,355125	-272,293304	332,788727
2,871776	1,356984	-270,624420	335,804016
2,869819	1,358590	-271,082672	337,052429
2,869407	1,358521	-269,849640	338,131348
2,869051	1,358461	-270,005798	338,928040
2,868743	1,358409	-270,548035	339,073578
2,868477	1,358364	-269,116089	338,927826
2,872530	1,356916	-267,607025	339,073364
2,876033	1,355665	-267,796143	341,099731
2,879060	1,354584	-267,823822	342,307983
2,881676	1,353650	-268,255005	340,501343
2,884640	1,354280	-271,750031	339,075745
2,887201	1,354825	-274,227570	335,264313
2,889415	1,355295	-273,382141	336,857483
2,891328	1,355702	-272,244232	336,876831
2,893664	1,357432	-272,754089	334,449951
2,895682	1,358926	-271,429932	331,945282
2,897427	1,360218	-267,977692	334,667816
2,898935	1,361334	-269,202515	332,676575
2,900960	1,363751	-266,459930	333,263489
2,902711	1,365840	-268,162323	331,598663
2,904224	1,367646	-270,719635	333,417969
2,905531	1,369206	-273,880066	332,275177
2,907418	1,371703	-273,896362	331,559052
2,909048	1,373860	-272,281372	328,225037
2,910457	1,375724	-271,971649	326,565430
2,911675	1,377336	-273,333038	325,674133
2,911130	1,377219	-271,387268	325,446869
2,910659	1,377117	-270,927429	327,965546
2,910252	1,377030	-269,036713	326,341156
2,909900	1,376954	-268,624451	326,566345
2,907185	1,376889	-271,526306	327,711243
2,904838	1,377952	-272,676666	325,714111
2,902810	1,378870	-272,856323	324,395386
2,901057	1,379664	-275,862427	324,613220
2,897761	1,380350	-276,695648	325,616028
2,894912	1,382020	-275,922424	328,111755
2,892450	1,383463	-275,389923	329,997162
2,890322	1,384711	-272,621887	325,924896
2,888483	1,385789	-266,971497	327,021118
2,887951	1,390449	-267,518372	326,882507
2,887492	1,394477	-267,312256	326,083923
2,887095	1,397958	-265,912323	328,923401
2,886752	1,400967	-269,589600	329,205322
2,887623	1,404359	-268,966553	327,412628
2,888376	1,407290	-268,292328	326,813599
2,889026	1,409824	-268,524139	326,974670
2,889589	1,412013	-268,996002	329,828979
2,888102	1,414475	-269,946838	329,716431
2,886817	1,416602	-270,361328	330,162201
2,885707	1,418441	-272,620117	326,474792
2,884747	1,420030	-274,436493	327,360626
2,882372	1,418979	-276,956573	328,669220
2,880320	1,418070	-274,383118	329,935913
2,878546	1,417285	-272,159027	328,587067
2,877012	1,416607	-269,965363	330,543701
2,876975	1,416878	-268,612518	329,519592
2,876943	1,417112	-270,158417	327,955750
2,876915	1,417314	-268,372101	326,061188
2,876890	1,417489	-269,679138	327,410431
2,871933	1,415271	-267,279114	325,997162
2,867648	1,413354	-265,069153	328,576904
2,863945	1,411698	-266,281555	329,448883
2,860745	1,410266	-266,243347	331,967285
2,862157	1,409929	-267,160583	331,157196
2,863377	1,409638	-264,287933	328,149231
2,864432	1,409387	-269,000275	328,264740
2,865343	1,409169	-269,271759	327,957275
2,870159	1,412519	-268,827606	327,963074
2,874322	1,415413	-271,158844	331,361969
2,877919	1,417915	-273,852386	331,041321
2,881028	1,420077	-273,193665	333,207794
2,881810	1,421946	-273,167358	333,451080
2,882486	1,424116	-271,108307	334,883148
2,883070	1,425992	-270,822083	337,071106
2,883574	1,427614	-270,981995	336,789948
2,884017	1,429015	-269,355377	334,510620
2,882385	1,433575	-268,492615	333,626770
2,880975	1,437516	-270,733582	330,283569
2,879756	1,440922	-268,869171	329,702057
2,878703	1,443866	-266,850616	330,149780
2,876039	1,449339	-266,735138	329,857941
2,873736	1,454068	-267,042603	329,605713
2,871745	1,458156	-267,579834	328,030182
2,870025	1,461688	-270,080475	330,333923
2,869858	1,464753	-270,205292	329,609802
2,869714	1,467401	-269,498657	328,984009
2,869589	1,469690	-271,874542	327,357117
2,869481	1,471668	-272,841858	326,358337
2,873350	1,473458	-273,677856	327,938751
2,876694	1,475004	-271,956787	328,490082
2,879584	1,476341	-269,519073	327,609009
2,882082	1,477496	-269,855865	329,969940
2,888056	1,475742	-267,567596	331,060059
2,893219	1,474227	-266,540253	327,658020
2,897681	1,472917	-267,145691	327,297180
2,901538	1,471784	-269,569519	327,935608
2,905454	1,468230	-268,949188	328,215851
2,908838	1,465158	-269,634857	328,186554
2,911763	1,462503	-266,426300	327,346710
2,914291	1,460208	-267,318726	330,557770
2,916784	1,455833	-268,225739	330,346283
2,918939	1,452052	-270,638672	328,670197
2,920801	1,448784	-269,873199	328,850739
2,922410	1,445960	-270,161926	328,056458
2,921555	1,441613	-269,461182	331,714172
2,920816	1,437855	-267,769501	333,925049
2,920177	1,434608	-268,343811	335,700043
2,919626	1,431802	-268,432892	333,840179
2,917014	1,428413	-269,867432	333,590363
2,914757	1,421241	-267,306091	332,831451
2,912807	1,415043	-268,079071	333,397339
2,911121	1,409687	-272,548248	332,257355
2,910664	1,405058	-272,202301	333,715729
2,910269	1,404953	-272,446350	331,446472
2,909927	1,404862	-271,435455	332,743408
2,909632	1,404784	-268,932739	331,420685
2,909377	1,404716	-267,312805	331,906586
2,909642	1,405256	-269,849701	326,353302
2,909871	1,405722	-270,548889	324,540527
2,910068	1,406124	-270,338623	324,331390
2,910239	1,406473	-270,564178	327,680267
2,910949	1,407723	-271,845154	328,130951
2,911563	1,408803	-271,187408	330,149506
2,912093	1,409737	-267,768097	329,993469
2,912551	1,410544	-271,600708	328,772552
2,913625	1,412032	-269,482819	327,174377
2,914553	1,413319	-268,466980	326,336182
2,915355	1,414430	-271,118683	327,105072
2,916048	1,415391	-270,966827	327,090820
2,919951	1,416913	-271,378601	328,843323
2,923324	1,418227	-266,847290	330,765167
